CAD Event Number,Event Clearance Code,Event Clearance Description,Event Clearance SubGroup,Event Clearance Group,Event Clearance Date,District/Sector,Census Tract,Longitude,Latitude,Officers at Scene
16000105011,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,2016-03-26 18:02:00,E,7500.4006,-122.31814,47.614094,3
16000105000,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,2016-03-26 17:57:00,B,3500.2016,-122.35436,47.67457,3
16000104920,363,MISSING PERSON,"PERSONS - LOST, FOUND, MISSING","PERSONS - LOST, FOUND, MISSING",2016-03-26 17:56:00,C,7600.2002,-122.3047,47.622295,1
16000104880,51,"BURGLARY - RESIDENTIAL, OCCUPIED",RESIDENTIAL BURGLARIES,BURGLARY,2016-03-26 17:58:00,H,9200.2014,-122.33112,47.60172,2
16000104619,40,"ASSAULTS, OTHER",ASSAULTS,ASSAULTS,2016-03-26 17:52:00,J,2900.1001,-122.35799,47.69061,1
16000104605,100,FRAUD (INCLUDING IDENTITY THEFT),FRAUD CALLS,FRAUD CALLS,2016-03-26 17:51:00,B,3400.1007,-122.366035,47.675625,0
16000104739,430,MOTOR VEHICLE COLLISION,TRAFFIC RELATED CALLS,MOTOR VEHICLE COLLISION INVESTIGATION,2016-03-26 18:07:00,U,4100.1002,-122.26142,47.674934,4
16000104607,250,"MISCHIEF, NUISANCE COMPLAINTS","NUISANCE, MISCHIEF COMPLAINTS","NUISANCE, MISCHIEF",2016-03-26 18:14:00,B,5100.1012,-122.33135,47.662,1
16000105056,177,LIQUOR VIOLATION - INTOXICATED PERSON,LIQUOR VIOLATIONS,LIQUOR VIOLATIONS,2016-03-26 18:20:00,H,9100.2003,-122.327675,47.598354,3
16000105022,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,2016-03-26 18:23:00,M,8100.2001,-122.33797,47.612423,3
16000105013,161,TRESPASS,TRESPASS,TRESPASS,2016-03-26 18:14:00,H,7500.3005,-122.320915,47.62256,1
16000104997,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,2016-03-26 18:17:00,L,100.3003,-122.292496,47.72101,1
16000104948,430,MOTOR VEHICLE COLLISION,TRAFFIC RELATED CALLS,MOTOR VEHICLE COLLISION INVESTIGATION,2016-03-26 18:19:00,S,11700.4011,-122.27003,47.51715,1
16000104928,41,"HARASSMENT, THREATS","THREATS, HARASSMENT","THREATS, HARASSMENT",2016-03-26 18:10:00,E,7400.2,-122.320915,47.62256,3
16000104919,430,MOTOR VEHICLE COLLISION,TRAFFIC RELATED CALLS,MOTOR VEHICLE COLLISION INVESTIGATION,2016-03-26 18:14:00,D,8002.2016,-122.34564,47.611404,1
16000104843,430,MOTOR VEHICLE COLLISION,TRAFFIC RELATED CALLS,MOTOR VEHICLE COLLISION INVESTIGATION,2016-03-26 18:17:00,E,7500.5,-122.31693,47.619934,2
16000104571,63,THEFT - CAR PROWL,CAR PROWL,CAR PROWL,2016-03-26 18:12:00,F,11200.3008,-122.31492,47.526016,1
16000104753,242,FIGHT DISTURBANCE,DISTURBANCES,DISTURBANCES,2016-03-26 18:24:00,S,11800.401,-122.26972,47.520145,2
16000105076,410,ABANDONED VEHICLE,PARKING VIOLATIONS,TRAFFIC RELATED CALLS,2016-03-26 18:38:00,H,11900.5012,-122.264786,47.506573,2
16000104946,71,AUTO THEFT,AUTO THEFTS,AUTO THEFTS,2016-03-26 18:32:00,B,4900.2021,-122.352905,47.650112,3
16000104929,430,MOTOR VEHICLE COLLISION,TRAFFIC RELATED CALLS,MOTOR VEHICLE COLLISION INVESTIGATION,2016-03-26 18:30:00,J,3600.4012,-122.326836,47.678555,3
16000104888,430,MOTOR VEHICLE COLLISION,TRAFFIC RELATED CALLS,MOTOR VEHICLE COLLISION INVESTIGATION,2016-03-26 18:39:00,N,1200.5008,-122.33266,47.708656,4
16000105081,177,LIQUOR VIOLATION - INTOXICATED PERSON,LIQUOR VIOLATIONS,LIQUOR VIOLATIONS,2016-03-26 18:49:00,G,9100.1004,-122.31722,47.599186,3
16000105045,184,"NARCOTICS, OTHER",NARCOTICS COMPLAINTS,NARCOTICS COMPLAINTS,2016-03-26 18:57:00,C,7500.2002,-122.31561,47.61936,1
16000105034,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,2016-03-26 18:57:00,C,7900.3002,-122.31148,47.612225,2
16000104895,53,BURGLARY - UNOCCUPIED STRUCTURE ON RESIDENTIAL PROPERTY,RESIDENTIAL BURGLARIES,BURGLARY,2016-03-26 18:45:00,D,6100.3016,-122.32588,47.645058,1
16000104530,63,THEFT - CAR PROWL,CAR PROWL,CAR PROWL,2016-03-26 18:42:00,S,10401.3006,-122.29542,47.549896,0
16000105093,64,SHOPLIFT,THEFT,SHOPLIFTING,2016-03-26 18:52:00,D,7300.302,-122.33844,47.618244,2
16000105067,470,PARKING VIOLATION (EXCEPT ABANDONED VEHICLES),PARKING VIOLATIONS,TRAFFIC RELATED CALLS,2016-03-26 19:00:00,B,4900.2007,-122.34859,47.65343,2
16000105053,203,ALACAD - RESIDENTIAL PANIC (FALSE),PANIC ALACAD (FALSE),FALSE ALACAD,2016-03-26 18:53:00,H,4700.3011,-122.38055,47.670906,1
16000104977,430,MOTOR VEHICLE COLLISION,TRAFFIC RELATED CALLS,MOTOR VEHICLE COLLISION INVESTIGATION,2016-03-26 18:57:00,C,6200.2042,-122.30461,47.645554,2
16000105069,470,PARKING VIOLATION (EXCEPT ABANDONED VEHICLES),PARKING VIOLATIONS,TRAFFIC RELATED CALLS,2016-03-26 19:04:00,E,7402.3009,-122.32654,47.617405,1
16000105058,470,PARKING VIOLATION (EXCEPT ABANDONED VEHICLES),PARKING VIOLATIONS,TRAFFIC RELATED CALLS,2016-03-26 19:03:00,H,8800.1007,-122.30142,47.612263,1
16000104970,281,SUSPICIOUS VEHICLE,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,2016-03-26 19:03:00,J,1701.2015,-122.35397,47.694214,3
16000104961,430,MOTOR VEHICLE COLLISION,TRAFFIC RELATED CALLS,MOTOR VEHICLE COLLISION INVESTIGATION,2016-03-26 19:01:00,B,4700.4007,-122.38474,47.66982,3
16000105047,470,PARKING VIOLATION (EXCEPT ABANDONED VEHICLES),PARKING VIOLATIONS,TRAFFIC RELATED CALLS,2016-03-26 19:16:00,M,8100.3012,-122.3408,47.608494,2
16000105015,292,PERSON WITH A WEAPON (NOT GUN),WEAPONS CALLS,WEAPONS CALLS,2016-03-26 19:14:00,E,7500.4016,-122.32077,47.613518,1
16000104998,281,SUSPICIOUS VEHICLE,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,2016-03-26 19:12:00,C,7900.2002,-122.308846,47.615704,2
16000104824,430,MOTOR VEHICLE COLLISION,TRAFFIC RELATED CALLS,MOTOR VEHICLE COLLISION INVESTIGATION,2016-03-26 19:16:00,U,3900.1002,-122.28507,47.681458,3
16000104819,220,CRISIS COMPLAINT - GENERAL,CRISIS CALL,BEHAVIORAL HEALTH,2016-03-26 19:15:00,E,7402.3001,-122.32785,47.619038,1
16000105066,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,2016-03-26 19:28:00,U,4100.1019,-122.258095,47.669952,1
16000105051,250,"MISCHIEF, NUISANCE COMPLAINTS","NUISANCE, MISCHIEF COMPLAINTS","NUISANCE, MISCHIEF",2016-03-26 19:22:00,B,4700.2068,-122.37077,47.662197,1
16000105041,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,2016-03-26 19:23:00,E,8200.3004,-122.32922,47.609604,0
16000104990,220,CRISIS COMPLAINT - GENERAL,CRISIS CALL,BEHAVIORAL HEALTH,2016-03-26 19:25:00,M,8002.1004,-122.34176,47.611732,0
16000104982,242,FIGHT DISTURBANCE,DISTURBANCES,DISTURBANCES,2016-03-26 19:29:00,K,9200.2002,-122.33139,47.601074,0
16000104965,64,SHOPLIFT,THEFT,SHOPLIFTING,2016-03-26 19:20:00,F,11402.1028,-122.36522,47.521023,1
16000104627,63,THEFT - CAR PROWL,CAR PROWL,CAR PROWL,2016-03-26 19:32:00,C,6100.2007,-122.320854,47.64381,1
16000104579,100,FRAUD (INCLUDING IDENTITY THEFT),FRAUD CALLS,FRAUD CALLS,2016-03-26 19:20:00,F,10701.1016,-122.36165,47.54497,0
16000105092,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,2016-03-26 19:39:00,E,7500.4008,-122.316734,47.61289,4
16000105090,200,ALACAD - COMMERCIAL BURGLARY (FALSE),BURGLARY ALACAD (FALSE),FALSE ALACAD,2016-03-26 19:38:00,G,9000.2015,-122.31568,47.5992,3
16000105082,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,2016-03-26 19:31:00,Q,6800.2012,-122.35696,47.635956,2
16000105071,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,2016-03-26 19:33:00,B,5400.2004,-122.32738,47.653404,0
16000105062,40,"ASSAULTS, OTHER",ASSAULTS,ASSAULTS,2016-03-26 19:37:00,K,9200.2028,-122.33081,47.600464,1
16000105025,40,"ASSAULTS, OTHER",ASSAULTS,ASSAULTS,2016-03-26 19:38:00,R,10001.1002,-122.29916,47.579674,1
16000105024,71,AUTO THEFT,AUTO THEFTS,AUTO THEFTS,2016-03-26 19:40:00,O,9300.3187,-122.33679,47.5616,2
16000105012,430,MOTOR VEHICLE COLLISION,TRAFFIC RELATED CALLS,MOTOR VEHICLE COLLISION INVESTIGATION,2016-03-26 19:33:00,M,8100.2005,-122.33558,47.610676,0
16000104967,470,PARKING VIOLATION (EXCEPT ABANDONED VEHICLES),PARKING VIOLATIONS,TRAFFIC RELATED CALLS,2016-03-26 19:38:00,S,11101.2003,-122.28079,47.539825,3
16000104940,184,"NARCOTICS, OTHER",NARCOTICS COMPLAINTS,NARCOTICS COMPLAINTS,2016-03-26 19:33:00,M,8100.2004,-122.33759,47.611206,0
16000104911,139,GANG GRAFFITI,PROPERTY DAMAGE,PROPERTY DAMAGE,2016-03-26 19:34:00,H,1400.3,-122.357445,47.705097,2
16000104854,161,TRESPASS,TRESPASS,TRESPASS,2016-03-26 19:33:00,H,7300.2023,-122.33294,47.615883,2
16000104775,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,2016-03-26 19:31:00,H,7300.201,-122.329155,47.618237,0
16000104740,281,SUSPICIOUS VEHICLE,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,2016-03-26 19:32:00,B,4800.3008,-122.36399,47.658943,1
16000105131,460,TRAFFIC (MOVING) VIOLATION,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,2016-03-26 20:06:00,N,1300.2007,-122.344696,47.705048,3
16000105124,460,TRAFFIC (MOVING) VIOLATION,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,2016-03-26 19:44:00,H,8100.2022,-122.33245,47.607265,1
16000105108,242,FIGHT DISTURBANCE,DISTURBANCES,DISTURBANCES,2016-03-26 19:44:00,L,100.2002,-122.29231,47.730114,1
16000105089,200,ALACAD - COMMERCIAL BURGLARY (FALSE),BURGLARY ALACAD (FALSE),FALSE ALACAD,2016-03-26 19:55:00,E,8300.2015,-122.32836,47.613697,3
16000105079,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,2016-03-26 19:44:00,U,4200.1,-122.264465,47.67472,0
16000105077,261,"ANIMAL NOISE, STRAYS, BITES",ANIMAL COMPLAINTS,ANIMAL COMPLAINTS,2016-03-26 20:07:00,W,10500.2009,-122.38156,47.554726,4
16000105037,250,"MISCHIEF, NUISANCE COMPLAINTS","NUISANCE, MISCHIEF COMPLAINTS","NUISANCE, MISCHIEF",2016-03-26 19:56:00,B,3300.4003,-122.38589,47.67596,3
16000105033,220,CRISIS COMPLAINT - GENERAL,CRISIS CALL,BEHAVIORAL HEALTH,2016-03-26 19:45:00,G,9100.1002,-122.31843,47.599186,2
16000105009,63,THEFT - CAR PROWL,CAR PROWL,CAR PROWL,2016-03-26 20:03:00,H,8100.3003,-122.338,47.60829,0
16000104975,50,"BURGLARY - RESIDENTIAL, UNOCCUPIED",RESIDENTIAL BURGLARIES,BURGLARY,2016-03-26 19:42:00,H,3000.4008,-122.37893,47.684128,2
16000104972,63,THEFT - CAR PROWL,CAR PROWL,CAR PROWL,2016-03-26 19:59:00,M,8100.2007,-122.339355,47.609783,1
16000104950,41,"HARASSMENT, THREATS","THREATS, HARASSMENT","THREATS, HARASSMENT",2016-03-26 19:56:00,H,2800.1015,-122.34449,47.684402,2
16000104915,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,2016-03-26 19:41:00,W,9900.4089,-122.36811,47.56653,2
16000104790,200,ALACAD - COMMERCIAL BURGLARY (FALSE),BURGLARY ALACAD (FALSE),FALSE ALACAD,2016-03-26 19:43:00,D,6100.4005,-122.32589,47.64088,4
16000104778,161,TRESPASS,TRESPASS,TRESPASS,2016-03-26 19:46:00,K,9300.2016,-122.33327,47.593838,4
16000104724,63,THEFT - CAR PROWL,CAR PROWL,CAR PROWL,2016-03-26 19:56:00,M,8200.101,-122.33144,47.61171,2
16000105114,250,"MISCHIEF, NUISANCE COMPLAINTS","NUISANCE, MISCHIEF COMPLAINTS","NUISANCE, MISCHIEF",2016-03-26 20:08:00,S,11001.2007,-122.2826,47.539787,1
16000105112,200,ALACAD - COMMERCIAL BURGLARY (FALSE),BURGLARY ALACAD (FALSE),FALSE ALACAD,2016-03-26 20:09:00,Q,6800.2008,-122.35693,47.637775,3
16000105101,220,CRISIS COMPLAINT - GENERAL,CRISIS CALL,BEHAVIORAL HEALTH,2016-03-26 20:09:00,M,8100.2,-122.33732,47.61132,3
16000105016,50,"BURGLARY - RESIDENTIAL, UNOCCUPIED",RESIDENTIAL BURGLARIES,BURGLARY,2016-03-26 20:09:00,H,3500.3004,-122.35536,47.67183,1
16000105003,201,ALACAD - RESIDENTIAL BURGLARY (FALSE),BURGLARY ALACAD (FALSE),FALSE ALACAD,2016-03-26 20:09:00,R,10100.4001,-122.29101,47.57076,1
16000105162,460,TRAFFIC (MOVING) VIOLATION,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,2016-03-26 20:25:00,H,8800.3015,-122.29677,47.601654,2
16000105152,177,LIQUOR VIOLATION - INTOXICATED PERSON,LIQUOR VIOLATIONS,LIQUOR VIOLATIONS,2016-03-26 20:13:00,K,9200.1012,-122.32767,47.599194,2
16000105149,415,BLOCKING VEHICLE,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,2016-03-26 20:15:00,M,8200.101,-122.33113,47.612534,4
16000105128,281,SUSPICIOUS VEHICLE,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,2016-03-26 20:20:00,H,11800.6007,-122.26851,47.528423,1
16000105123,350,HAZARDS,HAZARDS,HAZARDS,2016-03-26 20:13:00,E,8500.1001,-122.3256,47.60816,3
16000105040,470,PARKING VIOLATION (EXCEPT ABANDONED VEHICLES),PARKING VIOLATIONS,TRAFFIC RELATED CALLS,2016-03-26 20:10:00,J,3000.4,-122.37679,47.685966,4
16000104916,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,2016-03-26 20:11:00,W,9600.2014,-122.38714,47.582996,2
16000104846,250,"MISCHIEF, NUISANCE COMPLAINTS","NUISANCE, MISCHIEF COMPLAINTS","NUISANCE, MISCHIEF",2016-03-26 20:21:00,J,3200.6,-122.40487,47.679905,2
16000105181,177,LIQUOR VIOLATION - INTOXICATED PERSON,LIQUOR VIOLATIONS,LIQUOR VIOLATIONS,2016-03-26 20:30:00,M,8100.3011,-122.34288,47.609814,2
16000105171,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,2016-03-26 20:35:00,G,8600.3008,-122.31678,47.6031,2
16000105163,177,LIQUOR VIOLATION - INTOXICATED PERSON,LIQUOR VIOLATIONS,LIQUOR VIOLATIONS,2016-03-26 20:23:00,H,8100.3011,-122.34288,47.609814,1
16000105142,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,2016-03-26 20:25:00,K,9100.2,-122.32376,47.598347,2
16000105111,40,"ASSAULTS, OTHER",ASSAULTS,ASSAULTS,2016-03-26 20:23:00,H,3200.3,-122.38759,47.670914,0
16000105106,192,MISDEMEANOR WARRANT SERVICE,WARRANT CALLS,ARREST,2016-03-26 20:21:00,J,1701.3018,-122.35407,47.701454,0
16000105075,470,PARKING VIOLATION (EXCEPT ABANDONED VEHICLES),PARKING VIOLATIONS,TRAFFIC RELATED CALLS,2016-03-26 20:25:00,W,10500.401,-122.38554,47.5584,4
16000105148,64,SHOPLIFT,THEFT,SHOPLIFTING,2016-03-26 20:36:00,Q,5802.2003,-122.37614,47.636337,1
16000105145,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,2016-03-26 20:42:00,R,10100.4001,-122.291,47.57158,2
16000105085,430,MOTOR VEHICLE COLLISION,TRAFFIC RELATED CALLS,MOTOR VEHICLE COLLISION INVESTIGATION,2016-03-26 20:36:00,G,8800.3015,-122.29677,47.601654,1
16000105064,41,"HARASSMENT, THREATS","THREATS, HARASSMENT","THREATS, HARASSMENT",2016-03-26 20:32:00,R,9400.205,-122.308304,47.587032,2
16000105043,470,PARKING VIOLATION (EXCEPT ABANDONED VEHICLES),PARKING VIOLATIONS,TRAFFIC RELATED CALLS,2016-03-26 20:34:00,R,9500.1031,-122.29241,47.589878,0
16000104857,130,PROPERTY DESTRUCTION,PROPERTY DAMAGE,PROPERTY DAMAGE,2016-03-26 20:33:00,O,9300.3025,-122.3342,47.582935,3
16000105185,470,PARKING VIOLATION (EXCEPT ABANDONED VEHICLES),PARKING VIOLATIONS,TRAFFIC RELATED CALLS,2016-03-26 20:48:00,W,9600.5,-122.38238,47.591312,3
16000105116,410,ABANDONED VEHICLE,PARKING VIOLATIONS,TRAFFIC RELATED CALLS,2016-03-26 20:40:00,U,4000.1027,-122.26365,47.680744,4
16000105048,250,"MISCHIEF, NUISANCE COMPLAINTS","NUISANCE, MISCHIEF COMPLAINTS","NUISANCE, MISCHIEF",2016-03-26 20:50:00,R,10401.1004,-122.295654,47.558105,1
16000105046,171,PARKS EXCLUSION,PARKS EXCLUSIONS,MISCELLANEOUS MISDEMEANORS,2016-03-26 20:40:00,R,9400.5006,-122.31484,47.590767,3
16000105195,203,ALACAD - RESIDENTIAL PANIC (FALSE),PANIC ALACAD (FALSE),FALSE ALACAD,2016-03-26 20:55:00,Q,6800.2009,-122.35625,47.638382,3
16000105160,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,2016-03-26 20:54:00,N,1300.3,-122.34466,47.701794,2
16000105127,64,SHOPLIFT,THEFT,SHOPLIFTING,2016-03-26 20:54:00,M,8200.1005,-122.334816,47.61237,1
16000104719,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,2016-03-26 20:50:00,M,8100.1016,-122.34134,47.606903,1
16000104704,250,"MISCHIEF, NUISANCE COMPLAINTS","NUISANCE, MISCHIEF COMPLAINTS","NUISANCE, MISCHIEF",2016-03-26 20:50:00,H,8100.1031,-122.33669,47.603516,2
16000104687,250,"MISCHIEF, NUISANCE COMPLAINTS","NUISANCE, MISCHIEF COMPLAINTS","NUISANCE, MISCHIEF",2016-03-26 20:50:00,K,8100.1039,-122.3364,47.602657,1
16000105214,177,LIQUOR VIOLATION - INTOXICATED PERSON,LIQUOR VIOLATIONS,LIQUOR VIOLATIONS,2016-03-26 21:15:00,M,8100.3011,-122.34288,47.609814,0
16000105147,220,CRISIS COMPLAINT - GENERAL,CRISIS CALL,BEHAVIORAL HEALTH,2016-03-26 21:00:00,B,4700.2046,-122.376335,47.662205,4
16000105141,470,PARKING VIOLATION (EXCEPT ABANDONED VEHICLES),PARKING VIOLATIONS,TRAFFIC RELATED CALLS,2016-03-26 21:02:00,Q,6800.2017,-122.356285,47.634743,4
16000105094,64,SHOPLIFT,THEFT,SHOPLIFTING,2016-03-26 21:02:00,K,9300.1009,-122.327034,47.595837,3
16000104939,220,CRISIS COMPLAINT - GENERAL,CRISIS CALL,BEHAVIORAL HEALTH,2016-03-26 21:06:00,J,1702.1015,-122.35535,47.69512,3
16000105188,470,PARKING VIOLATION (EXCEPT ABANDONED VEHICLES),PARKING VIOLATIONS,TRAFFIC RELATED CALLS,2016-03-26 21:13:00,J,3600.2022,-122.32515,47.681175,3
